,0
52,(-61.42558043522378-3.1085650097863974e-15j)
53,(-61.42558043522378-7.844419558367122e-15j)
54,(-60.42215246205277+4.445716042379944e-16j)
55,(-60.422152462052814+5.083995405077231e-15j)
56,(-66.43890620368683-8.88178420133985e-16j)
57,(-66.43890620368673-2.472523054353193e-15j)
58,(-64.14806753602323+2.6368362475593763e-15j)
59,(-64.14806753602338+2.7714104882531343e-15j)
60,(-64.76683547329537-2.1072590488115045e-15j)
61,(-64.76683547329525+2.4874149523571075e-15j)
62,(-65.44725060581834-4.663015226895909e-15j)
63,(-65.4472506058184-2.3222611035761745e-15j)
64,(7.172089713986507e-15-8.736647330345251e-17j)
65,(-174.85505554678244-4.975947243481341e-16j)
66,(-163.23942296513394-1.0784748125731624e-15j)
67,(-95.48293043152506-4.40460896403655e-16j)
68,(-97.37980377505777+1.8113828682481874e-15j)
69,(-157.1457347377001-7.9757360146606e-15j)
70,(-100.90658945710811-3.524927731162724e-15j)
71,(-102.52221562948054-5.16601954461421e-15j)
72,(-104.59293697339159-9.302589861400565e-15j)
73,(-105.01174351074982+3.98297069841692e-15j)
74,(-152.1442168445135+6.66732588269492e-16j)
75,(-151.72068555865945+4.515660236464369e-15j)
76,(-108.46247337848885-1.8641385313451252e-15j)
77,(-148.24515364509764+1.2950670919122e-15j)
78,(-109.98814673699287-2.5576116768703547e-15j)
79,(-145.5962614185239-5.0322470500097916e-15j)
80,(-111.88059082913233-1.7211453699891199e-15j)
81,(-113.06253048139514-4.20709337536537e-15j)
82,(-115.15880721815876+9.942314245962849e-17j)
83,(-142.24276427486578+8.056183058635722e-15j)
84,(-140.86442209928694-1.2513419678483375e-14j)
85,(-138.5674816194112+3.3461611934184855e-15j)
86,(-117.4137136503401-1.5015293053020058e-15j)
87,(-117.7677201508509+1.2736312146397112e-15j)
88,(-135.41016978611546-6.177357005347954e-15j)
89,(-118.17365352801926-4.877316108980599e-15j)
90,(-133.7387120531426-1.674265839464708e-15j)
91,(-148.0358586415068+2.561566253109694e-15j)
92,(-148.0358586415068-5.3260865400347875e-15j)
93,(-131.34611379591303-1.5919604261386778e-15j)
