index, number
0,(3.3442662554061475e-15-1.0571393470237382e-15j)
1,(5.527377564310802e-16+7.616627929471965e-16j)
2,(-5.794426482004413e-15+6.723650121093319e-16j)
3,(1.8580972656605986e-14+1.524531768970049e-15j)
4,(8.924815217215268e-16-4.0648122384540634e-16j)
5,(5.783557076967207e-15-9.769449878922165e-16j)
6,(5.105912650981443e-15-3.5881947545909513e-16j)
7,(8.292272960946052e-15-7.817292657499934e-17j)
8,(3.783259877037295e-15+1.5684941942896053e-15j)
9,(6.831660762736409e-15+4.635835973926589e-16j)
10,(-5.824355181732456e-15-4.811655143229342e-16j)
11,(4.017103275799804e-15+2.888542216510589e-17j)
12,(-4.827787880217304e-16+1.3791238833131703e-15j)
13,(-2.0399164116104135e-15+1.108865400006597e-15j)
14,(5.7067868433847035e-15+1.105029686035444e-15j)
15,(1.3920348047715943e-14-7.087615549145229e-16j)
16,(-1.201582918238072e-15-2.8502109017775676e-17j)
17,(-2.3858855614640057e-15+4.544891887700544e-16j)
18,(8.680525710350752e-15-7.184389206991332e-17j)
19,(1.9848586049104528e-15+1.0464580584831134e-15j)
20,(-2.077626077691968e-15+9.54506549343572e-16j)
21,(7.447712669019696e-15-4.09038096459729e-16j)
22,(-9.815746383506899e-15+4.3455975142385957e-16j)
23,(-5.532312749439894e-16+4.61433646889712e-16j)
24,(1.5118043726581582e-15-2.699997250451136e-16j)
25,(-6.9342678083960645e-15+4.8623395110407894e-17j)
26,(1.2212060428266112e-15+5.587447734533004e-16j)
27,(-3.720014866763135e-16-9.553927265049005e-16j)
28,(4.190941661184953e-15+8.680072213181781e-16j)
29,(1.167352958818223e-14+1.8121658824127917e-16j)
30,(2.737801943136686e-15+9.00491002686691e-16j)
31,(-5.788509427237392e-15+6.291694015299847e-16j)
32,(8.7425012150045e-15+6.064435051770674e-16j)
33,(-5.50484066390916e-15+9.448434707868462e-17j)
34,(5.607932496764688e-16-2.322942224776847e-16j)
35,(6.206296774567062e-15+8.081537452794025e-16j)
36,(-5.940672456524017e-15-1.3150412825760142e-15j)
37,(2.258036080586922e-15-8.777047546685445e-17j)
38,(1.0419635253901231e-15-8.540749582802791e-16j)
39,(1.1660530615864362e-14+2.809338557243914e-15j)
40,(6.154596084876757e-15-2.692348239774974e-16j)
41,(8.815490785667711e-15-2.552741909932009e-15j)
42,(5.640689459137886e-15+4.717144071513247e-16j)
43,(4.461117586185827e-15-6.436197336630248e-16j)
44,(-1.1409234620635365e-14+6.196174630563626e-16j)
45,(-2.3278328022784907e-15-5.704272666669652e-16j)
46,(-5.647862252174533e-15+4.269038974555028e-16j)
47,(-1.3161528671498303e-15+2.2812383839408913e-16j)
48,(-6.717679595124969e-15+1.2886417287142776e-16j)
49,(7.034406890738082e-16-1.5075146642940853e-15j)
50,(-3.3942666313709815e-15+5.077167763277516e-16j)
51,(4.454182434126348e-15+1.0144737117522206e-15j)
52,(-5.024182057411199e-16-2.98007348428455e-17j)
53,(8.629536627969092e-15+1.0377002988823348e-15j)
54,(1.7733778858658798e-15+3.173842725898725e-16j)
55,(1.4775417818511978e-15-8.48451929161364e-16j)
56,(-7.523653730078246e-15+6.742592201309998e-16j)
57,(5.39600958722181e-15-1.1842454299695021e-15j)
58,(-1.5694095870917279e-15-8.672494656773469e-16j)
59,(-5.8980271083736e-15-3.4651199070660936e-16j)
60,(-2.321790289796623e-15-6.084988155521997e-16j)
61,(-7.408693404881238e-15+1.9280634453426144e-16j)
62,(-1.9913442764735905e-16+6.896005366372385e-16j)
63,(8.394890287144851e-15-5.083808775402203e-16j)
64,(-2.9259788167345762e-15+2.640184233375432e-16j)
65,(3.4417869701540022e-15+8.323730715248259e-16j)
66,(-1.07535270711147e-14-1.682041715640344e-15j)
67,(1.1012776209649757e-14+5.123437316850928e-16j)
68,(3.732921823587706e-15+2.909532293619474e-16j)
69,(-1.3526104160970642e-15+1.2906050079309904e-16j)
70,(-6.246919269019791e-15-3.927315682228895e-17j)
71,(-9.880505868880632e-15-3.4033767545244614e-16j)
72,(1.3211264707655324e-15+2.4863992093494744e-16j)
73,(5.902551242498952e-15+1.3033887785367087e-16j)
74,(9.652438659042709e-15+1.2674004433913659e-15j)
75,(-6.07407171967469e-15+1.0672788833182967e-15j)
76,(-3.960048795373935e-15-2.757019581019737e-16j)
77,(9.34551505261603e-15+1.6414753378468066e-15j)
78,(8.901364383869122e-15+7.399701215072766e-16j)
79,(-4.093202226148145e-15+6.538040159280778e-17j)
80,(2.966132340812265e-16-1.5053582159878577e-16j)
81,(2.7584872183187553e-15-8.771004265691291e-16j)
82,(-5.807942714139734e-15-1.3414242495873158e-16j)
83,(-5.357036545205613e-16+1.026143755633159e-15j)
84,(-5.244386476683743e-16+4.450215368965636e-15j)
85,(4.8895368073343396e-15-5.122508790265845e-16j)
86,(-9.720817493941037e-15+3.4735914297874947e-16j)
87,(-3.692896018934704e-15+4.0571835390432734e-16j)
88,(6.386277239711302e-15+5.570744224047395e-16j)
89,(7.760684140494176e-16+2.958296986099329e-16j)
90,(-2.9258898983898567e-15+4.329685215974102e-16j)
91,(9.613391207012667e-17+1.455645549254119e-15j)
92,(-2.312609928601354e-15+3.696533123247723e-16j)
93,(1.8852881419878577e-14+4.508595444084872e-16j)
94,(-1.5550963155766568e-15-1.024746586911808e-15j)
95,(7.516070076099695e-15+1.7101700723383564e-15j)
96,(1.5110068121333882e-15+4.9756882642602e-16j)
97,(-7.507252585648937e-15-5.429268230207495e-16j)
98,(6.996525642756074e-15+6.800172127636397e-16j)
99,(-9.049345898407307e-15+1.6173540738573896e-15j)
100,(5.417249115929093e-15+1.0538987398706367e-16j)
101,(1.0333900993187527e-14+8.782855573759936e-16j)
102,(-6.943413013310741e-15+1.7413998697421311e-15j)
103,(3.762810459452817e-17+5.681872106054286e-16j)
104,(3.789185600308358e-15+1.5175196793292721e-15j)
105,(8.282345176815035e-15-7.901605306106108e-16j)
106,(1.6150443893624654e-15+9.327295075617443e-16j)
107,(3.3703968986500502e-15-3.5532811336930563e-16j)
108,(-1.1184314032250778e-14+4.1059053173108844e-16j)
109,(1.6495464665769704e-15-2.7983054979733725e-16j)
110,(2.0233786976054912e-15+7.728362289163917e-16j)
111,(1.903200868030124e-15-1.2190688622051998e-15j)
112,(3.8804204466966195e-16+1.2780367789013005e-15j)
113,(-3.645974566928908e-15-1.1648721415488893e-16j)
114,(-1.0437116944334246e-15-3.432416722775912e-16j)
115,(1.0632940419441933e-14-1.2432786188249845e-16j)
116,(-2.2836640617819566e-14-1.329921270480277e-16j)
117,(9.157326360531172e-15-2.8606212097019885e-16j)
118,(-4.274355136654916e-15-1.2587573723893079e-15j)
119,(-2.686442656719901e-17-1.93156175430439e-16j)
120,(-1.2288887179864974e-14-2.4109066020780073e-15j)
121,(4.20841854935949e-15+1.669965174483115e-16j)
122,(-6.034147168697744e-15+7.702709863275811e-16j)
123,(-1.822446044575663e-15-3.647879013816907e-16j)
124,(4.64309983684091e-15-3.0939605067610367e-16j)
125,(2.378591862388951e-15-1.7449874981232349e-15j)
126,(-1.3522741942056264e-15-3.078554408624483e-16j)
127,(4.346489469158548e-15+3.512466409537252e-17j)
128,(8.286243984583698e-15+1.1920526730632885e-15j)
