,0
45,(-1.8750524814482854e-16+1.714249097108367e-17j)
46,(-1.9286229426875037e-16+1.3440996649832626e-17j)
47,(6.065745483002228e-16-1.9874934142559505e-17j)
48,(-8.171090195745391e-16-7.498990637425499e-18j)
49,(-2.9544855707961934e-16-2.133579341807682e-17j)
50,(8.043292200880343e-17+2.3332190851705082e-17j)
51,(-2.353970587276619e-16-7.95541944104399e-18j)
52,(-8.445641743319732e-16-6.859612715946427e-19j)
53,(-1.063070135415855e-16+1.3756798690101506e-16j)
54,(-2.750412446040595e-15+1.586722473498134e-17j)
55,(-1.894723124773617e-15+1.1519200804137735e-16j)
56,(-5.700041813368749e-16-1.6812341784822105e-17j)
57,(2.682160931931622e-16+4.300020484036109e-18j)
58,(1.1129981412535403e-15-3.232285101733352e-17j)
59,(2.450046483402371e-17+1.274710636377259e-16j)
60,(5.6750599743528985e-15-4.662760956308301e-17j)
61,(-4.894740949169752e-16-5.2482178694081486e-18j)
62,(3.084365282365828e-15+4.915653486850564e-17j)
63,(4.1086802698269556e-16-2.795897232260584e-17j)
64,(-3.167520442423218e-16-1.2328852566000003e-16j)
65,(-8.616740467147918e-16+1.676131824202398e-17j)
66,(-7.254704201570672e-16-1.3963865313013414e-16j)
67,(-1.3063531365143982e-15+8.550374525887063e-17j)
68,(1.2282274280896964e-16+1.4530528815793258e-18j)
69,(-2.5815358987732287e-16+1.4742219745933597e-17j)
70,(7.538958697951981e-16+3.2995498690221196e-17j)
71,(-8.66170529547105e-16-9.336710409100083e-18j)
72,(4.806480559137193e-15-1.0016057894739497e-17j)
73,(1.7696542992653809e-15+3.194135020523181e-17j)
74,(-8.710806839142592e-16-1.5808425941672317e-17j)
75,(5.795318678681982e-15+1.7928962622107303e-17j)
76,(-6.926703728282161e-16-1.1439013895708252e-16j)
77,(3.9163008499455193e-16-6.839968850960974e-17j)
78,(2.7524356934504553e-16-4.5457887465905285e-17j)
79,(2.2692077903260114e-16+8.537218265366545e-17j)
80,(-9.85006956616856e-16-2.6959685313777874e-17j)
81,(-2.93878768263012e-16+9.904046338704149e-17j)
82,(-4.805281015364828e-16-7.187940707227938e-17j)
83,(1.424714543460718e-15-9.197151683792478e-18j)
84,(-1.634072154800444e-15-2.4068489628804493e-17j)
85,(8.300186096995011e-16-8.866749212491184e-17j)
86,(6.214981225022862e-16+1.7760200777068712e-17j)
87,(2.640002318571501e-17-1.0198236013794616e-16j)
88,(9.680437946394144e-16+8.947129773318284e-17j)
89,(-3.4715462835028626e-17+5.2344641912183593e-17j)
90,(-1.2428944728147128e-16-1.3312231779158042e-18j)
91,(2.1491060448271943e-15-2.1618905310664407e-17j)
92,(-2.5959408770333174e-15+6.136579037697154e-17j)
