index, number
0,(-9.082001413592621-3.492080578940222e-17j)
1,(-10.663807009153313-1.0754430016920579e-16j)
2,(-24.396270344809434+1.9592352671564437e-16j)
3,(-11.887416759113144-4.676363622110942e-16j)
4,(-12.937260140779367-3.192497860161339e-16j)
5,(-13.490950060026464-1.9268424269878236e-16j)
6,(-22.45556377119162-1.4224823851457239e-15j)
7,(-22.24358374508389-2.0757113665861511e-16j)
8,(-21.940133376031117+5.608722966581551e-16j)
9,(-14.499243017857829-4.293625783239487e-16j)
10,(-14.431971939097673+3.358197665427813e-15j)
11,(-15.206391481127442+1.0437435975197312e-15j)
12,(-15.683338975503418+1.595007714789268e-15j)
13,(-16.192749332485114-7.916773030579282e-17j)
14,(-16.48260361267426+1.513280881731203e-15j)
15,(-21.31457216531402-2.5886980284665017e-15j)
16,(-17.908480916853733-6.7612447190195e-16j)
17,(-20.822780516630065-2.0668988959155945e-15j)
18,(-20.46338106343203+1.621345073020768e-17j)
19,(-19.979129448387326-4.0355318864384658e-16j)
20,(-18.383724753047577-4.07631608457537e-16j)
21,(-18.830067670966745+8.044053801636746e-16j)
22,(-19.40544923552818-1.811314116664995e-15j)
23,(-19.18458266430684-1.721050132036217e-15j)
24,(-29.486336545629808-4.68384049005925e-17j)
25,(-25.010283266355295-6.506524247338081e-16j)
26,(-24.582997645077363+1.2561785413503418e-15j)
27,(-23.299148896795568-1.0382342330726595e-15j)
28,(-10.077078572151693-1.1284180464631779e-15j)
29,(-10.776704640744498+6.246468581400588e-16j)
30,(-22.276867822997335-6.852311342300018e-18j)
31,(-20.98051497771412-2.019057161044219e-15j)
32,(-20.522005633081616+5.189061432471123e-16j)
33,(-20.21977712876726-3.5845304632341774e-16j)
34,(-11.934989811432041+1.8627749995177823e-15j)
35,(-18.84120806240752+1.4035729563618501e-15j)
36,(-12.478299982652258-5.261003641061733e-16j)
37,(-13.144100644876232-3.6940695488493204e-16j)
38,(-17.656852761291315-1.3406087435079027e-15j)
39,(-13.460745264019506-1.2254271471691152e-15j)
40,(-17.308652507338348-2.7885849051415725e-15j)
41,(-16.67751448975471+1.4883204067867402e-15j)
42,(-16.298388964956313+8.208763788229464e-16j)
43,(-15.772326524518384-9.854046705131865e-16j)
44,(-14.083416634621747-1.1929373236505506e-15j)
45,(-15.17405321208898+5.361367559864853e-16j)
46,(-14.991756989117208-3.3530151205311423e-15j)
47,(-14.702293602001719-4.408807194563765e-16j)
48,(-28.823831259333968-1.1820637270920083e-15j)
49,(-7.989909948858124+2.613848244342838e-17j)
50,(-10.447029369663426+2.3197330424050227e-16j)
51,(-11.367876133873136+5.503547135581109e-16j)
52,(-24.90777461027994+1.2666121465474336e-16j)
53,(-24.66356972582476+5.850455339419085e-16j)
54,(-23.576653169600917+2.0284508861137035e-15j)
55,(-23.018862514467735+1.2981205111390848e-15j)
56,(-12.57317061896071+1.4346371643395216e-15j)
57,(-13.203266602813265+8.391471800199034e-16j)
58,(-14.05759455135825+3.503227140680953e-16j)
59,(-21.49132686627434+5.0647192620403964e-17j)
60,(-21.224511241562176+1.656108167894758e-16j)
61,(-20.219445225486915+1.1430835085788326e-15j)
62,(-15.078457507988153-5.0953966040248e-16j)
63,(-19.557472278831902+1.152867617448483e-16j)
64,(-19.128696090325263-2.568540124983931e-15j)
65,(-15.69183651152066+1.794560312706583e-15j)
66,(-16.339173953551203+1.0433133351177771e-15j)
67,(-16.455228510388082+1.0421512526077617e-15j)
68,(-18.297411941119076+1.6683439724233822e-15j)
69,(-17.04763450707808+4.182859916441053e-16j)
70,(-17.592987308993106+3.0287052495589044e-15j)
71,(-17.844134629342292-3.299470436069274e-16j)
72,(-38.141782941366124-1.7289546287097718e-15j)
73,(-36.73885793742135-1.842169792051124e-15j)
74,(-34.735663343808206-1.3059322578872042e-15j)
75,(-32.03686797037161-1.4758135330729883e-15j)
76,(-30.694292125326808+7.345533915214656e-16j)
77,(-10.169901994171102+8.788094064405272e-16j)
78,(-28.68148799498121+9.795604384476886e-16j)
79,(-12.03287361019378+3.6069631162219404e-16j)
80,(-25.8643016154012+1.201262868975298e-15j)
81,(-13.888327209262886+1.431894663578359e-16j)
82,(-14.364495255175461+2.1259562255702004e-16j)
83,(-14.714742176896971-3.2700558416992266e-16j)
84,(-24.063228700194585+1.5934606730296585e-15j)
85,(-23.731547227748504-8.71355727657522e-17j)
86,(-22.8326308601975-9.234747608269289e-16j)
87,(-22.98840374179843-1.6030049592122726e-15j)
88,(-21.572092968575443+1.3918129556430893e-16j)
89,(-17.343217774045407-7.25251735586944e-16j)
90,(-17.191108111389234+1.029230092908815e-15j)
91,(-18.1137175287849+1.8630538316953688e-16j)
92,(-20.705439552357-1.5311078192559773e-15j)
93,(-18.904338254290384+3.630039017070001e-16j)
94,(-19.136698738226897+1.7398642011648554e-15j)
95,(-20.184539561952814-2.7510709996053954e-15j)
96,(-26.674048245762908-9.614242390014403e-17j)
97,(-23.62218197266032-2.0130041665147398e-15j)
98,(-7.859612279965849-3.0019437414789356e-16j)
99,(-8.89629315073786+1.2483413752857302e-15j)
100,(-21.25928653136619-8.814414588010024e-16j)
101,(-10.070715510808732+1.805810556121437e-16j)
102,(-19.9056336823996+3.049023906620168e-16j)
103,(-19.46071568527747+5.2743375636434725e-16j)
104,(-19.16521527204157-2.964804888072928e-17j)
105,(-18.64743426803245+8.967183299059885e-16j)
106,(-18.029374279668264-1.1495469021914977e-16j)
