index, number
107,(2.1355345542070167e-15-2.1022936073138715e-16j)
108,(-3.73458610252243e-15+4.831206755700797e-16j)
109,(2.11626930584585e-15+1.0859580880776908e-17j)
110,(-8.26314978619868e-16-1.0112253764874738e-16j)
111,(3.763453352508721e-15+3.8250491339869145e-16j)
112,(5.204615917836733e-15+2.377400475324727e-16j)
113,(-1.1131541963533351e-14-1.210300551940349e-16j)
114,(1.5358065926258358e-15-3.2851464126204097e-16j)
115,(-1.7767472181903287e-15+3.430746811290492e-16j)
116,(-9.324080405725833e-16-6.80581655081731e-17j)
117,(-9.546137372697952e-15-8.63794048439818e-17j)
118,(-5.942132733190582e-16+3.443918938883046e-16j)
119,(-1.3192284889757464e-15+1.1002258307457186e-16j)
120,(2.2543833174560083e-15-5.141777153211898e-16j)
121,(7.3955732544726e-15-1.7166906372392402e-15j)
122,(-5.426653091920584e-16+2.6666550681014017e-16j)
123,(6.1514623590331306e-15+1.1305665409524583e-16j)
124,(-2.439929877481849e-15-1.5225340738789728e-16j)
125,(-2.157698663352126e-15+2.0441776006444514e-17j)
126,(1.4890817005017426e-15+1.1782887273542387e-16j)
127,(-6.083784593805151e-15-1.5818870856722425e-17j)
128,(6.937361350264582e-16-1.6310244454053446e-16j)
129,(1.4716013949074014e-15+4.586037403708273e-16j)
130,(7.406515750499434e-16-1.0760987934616224e-16j)
131,(-5.167840597285292e-15+3.086077388045867e-16j)
132,(1.0189302110332474e-15+5.796889882073377e-16j)
133,(4.733996633763568e-15-2.1453137722000832e-16j)
134,(2.2195845108589217e-15+3.517752808846667e-16j)
135,(8.380352762662468e-16+1.245347792055918e-16j)
136,(7.597204293678481e-15+1.41261345762931e-16j)
137,(-3.2350151554071023e-15+3.6485599932676e-17j)
138,(-1.7326658495347466e-15-4.9812106395488895e-17j)
139,(-3.5681428265159855e-15+1.7033366042267535e-16j)
140,(-2.3563408836027118e-15+3.446111526125447e-17j)
141,(-2.435540924793501e-16+4.472838073995678e-17j)
