index, number
197,(-23323.229575778256+0j)
198,(-23428.458053050876+0j)
199,(-23381.648331179327+0j)
200,(-23493.310775052367+0j)
201,(-23432.427282039265+0j)
202,(-23551.101746587385+0j)
203,(-23456.951606729934+0j)
204,(-23578.32324804869+0j)
205,(-23586.60126924763+0j)
206,(-23706.45511471247+0j)
207,(-23724.022434186256+0j)
208,(-23831.519905960144+0j)
209,(-23799.05230749824+0j)
210,(-23908.551298546565+0j)
211,(-23824.250940169164+0j)
212,(-23936.20466435704+0j)
213,(-23865.159014090365+0j)
214,(-23983.34908444347+0j)
215,(-24003.94923019514+0j)
216,(-24124.04878538364+0j)
217,(-25792.478780742906+0j)
218,(-25925.18565750261+0j)
219,(-25925.675404399146+0j)
220,(-26056.24126096485+0j)
221,(-27800.970857250322+0j)
222,(-27918.919804073837+0j)
223,(-28050.24868628453+0j)
224,(-28148.902309395216+0j)
225,(-28244.643792898365+0j)
226,(-28341.76152101726+0j)
227,(-28616.231060646616+0j)
228,(-28707.2562433366+0j)
229,(-29078.533406708066+0j)
230,(-29196.990241382147+0j)
231,(-29828.27894671521+0j)
232,(-29937.298260597563+0j)
233,(-29953.11729651329+0j)
234,(-30066.42057426038+0j)
235,(-30058.678185666504+0j)
236,(-30160.091251369617+0j)
237,(-30168.660784544736+0j)
238,(-30260.438690915435+0j)
239,(-30211.792134331437+0j)
240,(-30303.788827709002+0j)
241,(-30255.918178751024+0j)
242,(-30348.471197485436+0j)
243,(-30393.938999860668+0j)
244,(-30486.12512899295+0j)
245,(-30410.053839879067+0j)
246,(-30497.141241124355+0j)
247,(-30449.784266093553+0j)
248,(-30535.14795021389+0j)
249,(-30553.879020073404+0j)
250,(-30467.203092727737+0j)
251,(-30526.73656765007+0j)
252,(-30607.541460787168+0j)
253,(-30704.35472004831+0j)
254,(-30781.107799302103+0j)
255,(-30734.759017279008+0j)
256,(-30813.651945501693+0j)
257,(-30740.783881198666+0j)
258,(-30815.665383652427+0j)
259,(-31032.456809948046+0j)
260,(-31114.24609096819+0j)
261,(-31077.865999307778+0j)
262,(-31159.72619512667+0j)
263,(-31136.027591450853+0j)
264,(-31216.762701538784+0j)
265,(-31945.084921047383+0j)
266,(-31893.69081424727+0j)
267,(-32012.09425730468+0j)
268,(-32061.475454018604+0j)
269,(-32047.1375365628+0j)
270,(-32090.353968393752+0j)
271,(-37067.79904481559+0j)
272,(-37094.9115989461+0j)
273,(-37201.519103867024+0j)
274,(-37174.63200551543+0j)
275,(-37200.312140300004+0j)
276,(-37226.12355891829+0j)
277,(-37245.88621619455+0j)
278,(-37275.693655721574+0j)
279,(-37998.91137295174+0j)
280,(-38083.68039679029+0j)
281,(-38118.46252432222+0j)
282,(-38208.766683948335+0j)
283,(-38313.19776933606+0j)
284,(-38211.79201990007+0j)
285,(-38224.801535549166+0j)
286,(-38324.7497074995+0j)
287,(-38578.948729004915+0j)
288,(-38675.867954101675+0j)
289,(-41761.51538151552+0j)
290,(-41858.371827984505+0j)
291,(-42056.87801673566+0j)
292,(-42165.27495557424+0j)
293,(-44364.16196500856+0j)
294,(-44524.03425215549+0j)
295,(-44410.028904016785+0j)
296,(-44574.325728711185+0j)
297,(-44430.60497753482+0j)
298,(-44600.55647374196+0j)
299,(-44447.861945617406+0j)
300,(-44617.805979462166+0j)
301,(-44496.81306608314+0j)
302,(-44665.61538846877+0j)
303,(-44597.35596709671+0j)
304,(-44780.146773875844+0j)
305,(-44616.31154379535+0j)
306,(-44803.81666497431+0j)
307,(-44689.902181519035+0j)
308,(-44877.18182310662+0j)
309,(-44941.36228854662+0j)
310,(-44764.3704744327+0j)
311,(-44770.142871061966+0j)
312,(-44945.63904830962+0j)
313,(-44797.14433938643+0j)
314,(-44970.3624115849+0j)
315,(-44818.42587685313+0j)
316,(-44990.13762462506+0j)
317,(-44858.13486791156+0j)
318,(-45028.53198316807+0j)
319,(-44859.113007667416+0j)
320,(-45029.702459899825+0j)
321,(-44877.862726003266+0j)
322,(-45047.06804624274+0j)
323,(-44883.79694725992+0j)
324,(-45055.277844365344+0j)
325,(-44926.35054015598+0j)
326,(-45096.53632166465+0j)
327,(-44943.54425636619+0j)
328,(-45112.637457647426+0j)
329,(-44994.15759476514+0j)
330,(-45159.7671521979+0j)
331,(-45009.09423356177+0j)
332,(-45169.20014905234+0j)
333,(-45013.9205641204+0j)
334,(-45173.93792799696+0j)
335,(-45024.287667160694+0j)
336,(-45185.075534340256+0j)
337,(-45028.62596501634+0j)
338,(-45190.8112179974+0j)
339,(-45104.70546165337+0j)
340,(-45262.33207241721+0j)
341,(-45115.76472273661+0j)
342,(-45272.4593686944+0j)
343,(-45306.56975353022+0j)
344,(-45148.31347677217+0j)
345,(-45152.57935928849+0j)
346,(-45312.44642044152+0j)
347,(-45180.28604977604+0j)
348,(-45337.677459992236+0j)
349,(-45193.049792383565+0j)
350,(-45357.549691502645+0j)
351,(-45249.294308794764+0j)
352,(-45405.827007636886+0j)
353,(-45327.05284004175+0j)
354,(-45487.26988161044+0j)
355,(-45479.59046051826+0j)
356,(-45631.83365591382+0j)
357,(-45492.45977057578+0j)
358,(-45645.339001186185+0j)
359,(-45538.79868007+0j)
360,(-45696.30083835335+0j)
361,(-45546.471482211215+0j)
362,(-45705.411334668825+0j)
363,(-45587.98032946153+0j)
364,(-45744.83896446186+0j)
365,(-45600.10715409405+0j)
366,(-45758.11257377754+0j)
367,(-45612.7436386637+0j)
368,(-45772.85181526413+0j)
369,(-45640.548036472+0j)
370,(-45798.64205152202+0j)
371,(-45705.322360183636+0j)
372,(-45858.20058011669+0j)
373,(-45718.78776110128+0j)
374,(-45874.88814106845+0j)
375,(-45741.72253130379+0j)
376,(-45897.32946244372+0j)
377,(-45812.55263275743+0j)
378,(-45960.43835892109+0j)
379,(-45832.05440534577+0j)
380,(-45985.15604008131+0j)
381,(-45838.886412242544+0j)
382,(-45989.10976304522+0j)
383,(-46048.63394312179+0j)
384,(-45886.00818846783+0j)
385,(-45911.36730108649+0j)
386,(-46083.2042158022+0j)
387,(-45922.28158772977+0j)
388,(-46092.8624229851+0j)
389,(-46205.48920742766+0j)
390,(-46364.72146791857+0j)
391,(-46216.835956733456+0j)
392,(-46380.30501474828+0j)
393,(-46240.4565275184+0j)
394,(-46408.69253072349+0j)
395,(-46277.921415357894+0j)
396,(-46442.71093856977+0j)
397,(-46811.222043652946+0j)
398,(-46940.64465422577+0j)
399,(-46812.380479354586+0j)
400,(-46941.926321985135+0j)
401,(-47155.88290025876+0j)
402,(-47023.11276922517+0j)
403,(-47032.803878769875+0j)
404,(-47168.333102141274+0j)
405,(-47104.09181567849+0j)
406,(-47253.05623984756+0j)
407,(-47202.905441229435+0j)
408,(-47343.67594381869+0j)
409,(-47328.32383087037+0j)
410,(-47465.652078131425+0j)
411,(-47595.99057372731+0j)
412,(-47737.092295975344+0j)
413,(-47654.978873873944+0j)
414,(-47788.922111318294+0j)
415,(-47678.01801502101+0j)
416,(-47812.502971141206+0j)
417,(-47681.47438626994+0j)
418,(-47818.305279730936+0j)
419,(-47691.11683232043+0j)
420,(-47827.87194496959+0j)
421,(-47711.496749588754+0j)
422,(-47850.80266262624+0j)
423,(-47867.23051045663+0j)
424,(-47724.82959917993+0j)
425,(-47763.729855294005+0j)
426,(-47912.31383894317+0j)
427,(-47789.578567692035+0j)
428,(-47939.98713938502+0j)
429,(-47807.758750605295+0j)
430,(-47958.820863109635+0j)
431,(-47820.49528994666+0j)
432,(-47972.35486787849+0j)
433,(-47849.46721226182+0j)
434,(-47998.43543280193+0j)
435,(-47853.88758131607+0j)
436,(-48000.45497569851+0j)
437,(-47868.124892105494+0j)
438,(-48013.47315476336+0j)
439,(-47963.54063004271+0j)
440,(-48105.51050577852+0j)
441,(-47965.9551991605+0j)
442,(-48108.82476966475+0j)
443,(-48008.26201764519+0j)
444,(-48143.34760086422+0j)
445,(-48107.039988000615+0j)
446,(-48248.573166180635+0j)
447,(-48143.045824481276+0j)
448,(-48281.93000462987+0j)
449,(-48184.91816138859+0j)
450,(-48325.102651145964+0j)
451,(-48204.574248994584+0j)
452,(-48338.21750168337+0j)
453,(-48383.344066836056+0j)
454,(-48523.58516336836+0j)
455,(-48397.82663362872+0j)
456,(-48533.900898872176+0j)
457,(-48407.09948012566+0j)
458,(-48545.03735707679+0j)
459,(-48415.072343423366+0j)
460,(-48550.35239843464+0j)
461,(-48434.782827954754+0j)
462,(-48568.80849878155+0j)
463,(-48585.131311609715+0j)
464,(-48442.1024503675+0j)
465,(-48491.08019546067+0j)
466,(-48627.147263298946+0j)
467,(-48518.52510122082+0j)
468,(-48658.64236359153+0j)
469,(-48548.19670904572+0j)
470,(-48681.814985351+0j)
471,(-50078.38541744945+0j)
472,(-50200.675020601615+0j)
473,(-53937.713960631605+0j)
474,(-54063.007858109864+0j)
475,(-54220.53712056956+0j)
476,(-54366.05464738116+0j)
477,(-54385.32869621615+0j)
478,(-54529.194197293335+0j)
479,(-54531.52484599005+0j)
480,(-54653.06551797375+0j)
481,(-54841.35819941066+0j)
482,(-54979.08511463096+0j)
483,(-54909.374133979385+0j)
484,(-55041.94646591272+0j)
485,(-55005.942792343776+0j)
486,(-55128.558347443904+0j)
487,(-55605.141107352996+0j)
488,(-55503.11470517652+0j)
489,(-55566.728718777376+0j)
490,(-55663.12184182092+0j)
491,(-55651.40139616508+0j)
492,(-55742.59637020973+0j)
493,(-55674.73891125768+0j)
494,(-55769.69836840886+0j)
