,0
0,(-1500.5390010820072+0j)
1,(-2781.231433798776+0j)
2,(-3370.3738860528565+0j)
3,(-4309.021565664098+0j)
4,(-5239.856893517505+0j)
5,(-6863.433860333386+0j)
6,(-6978.788051545994+0j)
7,(-8182.8549108679435+0j)
8,(-8993.407553180856+0j)
9,(-9940.698943700745+0j)
10,(-10155.631546857474+0j)
11,(-10729.286882525628+0j)
12,(-11223.353251850394+0j)
13,(-11798.431240375925+0j)
14,(-13348.241654999327+0j)
15,(-13718.925715488898+0j)
16,(-14314.219044647638+0j)
17,(-14987.559232472438+0j)
18,(-17119.50575242399+0j)
19,(-17060.21148682708+0j)
20,(-17470.242548533857+0j)
