,0
116,-36.48691649408487
117,-36.47843480218226
118,-36.474540191910044
119,-36.462267490468754
120,-36.44297760356956
121,-36.43405858950117
122,-36.4154266868477
123,-36.41207555634195
124,-36.378398891577724
125,-36.37549843668812
126,-36.30567212364377
127,-36.30011129033749
128,-36.26142682479042
129,-36.256797172388985
130,-36.254551133173514
131,-36.237633742228155
132,-36.233162937311526
133,-36.222112248197064
134,-36.222096542180324
135,-36.21178755706715
136,-36.19930469053778
137,-36.175126117880694
138,-36.1263831920634
139,-36.120102393103984
140,-36.114580430519275
141,-36.078444438263375
142,-36.06836377000907
143,-36.06349069219069
144,-36.05276758662781
145,-36.02630481844926
146,-36.020222250129976
147,-36.01642059437727
148,-35.9879109494816
149,-35.978893773386446
150,-35.9739150414777
151,-35.96608926661294
152,-35.963544933283934
153,-35.95158535381782
154,-35.93196876143595
155,-35.927466224273886
156,-35.91190844488823
157,-35.855433337977075
158,-35.83713986984023
159,-35.833894371386506
160,-35.83192120148002
161,-35.75805371959053
162,-35.74297162202022
163,-35.73131942606694
164,-35.7189405979757
165,-35.717173781396276
166,-35.706149335110666
167,-35.702173368653696
168,-35.6444568691402
169,-35.64159335314479
170,-35.605540950741656
171,-35.5852625408081
172,-35.57793170731468
173,-35.57289243627167
174,-35.517041633137936
175,-35.4960196091279
176,-35.49533626073073
177,-35.494092633984735
178,-35.493774611499404
179,-35.49341289924711
180,-35.47455818354957
181,-35.46681079338573
182,-35.45030295925254
183,-35.435208228364395
184,-35.423712407362
185,-35.420126105115536
186,-35.40992069640905
187,-35.390274203958924
188,-35.375204608884715
189,-35.37481433668823
190,-35.35718716627524
191,-35.35569097304418
192,-35.342367242191976
193,-35.32931367283074
194,-35.32390059098632
195,-35.32379793033863
196,-35.29260966192646
197,-35.271295515714336
198,-35.26235688179194
199,-35.255925841836394
200,-35.25444250152104
201,-35.24894121508413
202,-35.23979929674009
203,-35.23001699081213
204,-35.228092806465824
205,-35.223026087022696
206,-35.20574383887613
207,-35.19272617743736
208,-35.18929185642547
209,-35.187376337985704
210,-35.162149231571156
211,-35.15065973331103
212,-35.06665441622986
213,-35.05068405021506
214,-35.04305375115378
215,-35.03727170861844
216,-35.036336533765606
217,-35.034998457789854
218,-35.02105292908219
219,-34.98538326583806
220,-34.98518009763582
221,-34.978579144492436
222,-34.9584400527768
223,-34.95352604273152
224,-34.94910507035402
225,-34.926959163243396
226,-34.92615022781391
227,-34.924740509113775
228,-34.90723867292602
229,-34.898231527025885
230,-34.8697087297095
231,-34.86818733942785
232,-34.86673212171678
233,-34.860458826250884
234,-34.84713901029224
235,-34.834423763531404
236,-34.82446984930644
237,-34.823844622988794
238,-34.8202777302533
239,-34.82001292904989
240,-34.80971380497247
241,-34.79514835861533
242,-34.79060789682607
243,-34.760342560451996
244,-34.75972080606039
245,-34.7567732509024
246,-34.75671557380454
247,-34.735663343808206
248,-34.73448047019833
249,-34.73007624235032
250,-34.72702170308772
251,-34.716852037281214
252,-34.71682100039993
253,-34.714359501696805
254,-34.71390066343166
255,-34.71309695869719
256,-34.71039521814712
257,-34.69918336008573
258,-34.65360952738744
259,-34.64708894311454
260,-34.643661930456766
261,-34.63597050836089
262,-34.599011195724316
263,-34.5986338250195
