,0
105,(-223.93442530324361+1.638854265657134e-13j)
106,(-245.85447835392205-4.680066036249114e-13j)
107,(-285.5561128642011-7.324311102735443e-14j)
108,(-279.6913756031099-1.1374976017967302e-13j)
109,(-269.96914955721326+3.6618638108732193e-14j)
110,(-259.78247176035944+2.3877869647137325e-13j)
111,(-264.2402758665531-5.0092088547324053e-14j)
112,(-200.94049585708845-1.4210854715202004e-14j)
113,(-292.11547766372405-7.383443724692416e-14j)
114,(-222.62446424384038+2.967701497893769e-13j)
115,(-282.828332542522+1.133649822317113e-13j)
116,(-276.40433321499177+1.1484916470985227e-13j)
117,(-231.62459528329944+2.9156791483806063e-13j)
118,(-269.0377633622626-1.5757060477296318e-14j)
119,(-196.61404608115845-1.0850321130232651e-13j)
120,(-202.79857129486714-1.0465960942569748e-13j)
121,(-306.43710035545087-2.858962965172804e-13j)
122,(-295.4155426477895-4.409218962291365e-14j)
123,(-216.34102556082667+5.300055539417678e-15j)
124,(-280.37294135670675+1.287698803323647e-13j)
125,(-277.07540569542164-3.6138390094947995e-13j)
126,(-272.63285948226365+6.42355236749563e-14j)
127,(-233.48765847045885-7.513520953126666e-15j)
128,(-262.0790685763053-2.1524844099499508e-13j)
129,(-245.86605535386994+3.854841421345997e-14j)
130,(-310.76637548712483+5.929137269572807e-13j)
131,(-302.7338384173233+6.902763857283472e-14j)
132,(-300.26755890736547-5.766829225836149e-13j)
133,(-289.4573073082171+2.0323981749271732e-13j)
134,(-218.38535938935848-1.2336697201742027e-13j)
135,(-220.63420472801616+1.4368264999058796e-13j)
136,(-240.93457853153737-5.0437761628485556e-14j)
137,(-244.8288997163609+2.0359218467690807e-13j)
138,(-260.6052236649241+1.9414030889247173e-15j)
139,(-299.3392632946684+2.8791076326753825e-13j)
140,(-290.9378237008783+3.9183884774505054e-13j)
141,(-214.4554982939937-3.544022714185857e-13j)
142,(-279.28190563632955-4.4165551710832153e-13j)
143,(-272.6976618460518-2.0795434170633203e-13j)
144,(-270.7714874405271-1.681557161912473e-13j)
145,(-267.6186887319061+2.058197389816022e-13j)
146,(-242.77672438107152-3.510989716565984e-14j)
147,(-247.9251357627875+7.151259132691961e-14j)
148,(-308.5026884661852-2.575717417130363e-13j)
149,(-228.31591789103007-2.6707790446365395e-13j)
150,(-286.6090202155692+4.313514048857452e-14j)
151,(-237.35648892348138+1.310183536306566e-13j)
152,(-244.20347140393403+3.5570346141919267e-13j)
153,(-253.500702684161+3.6911707074348793e-13j)
154,(-258.00405109571244-2.326835871328424e-13j)
155,(-211.32558341845538+4.440892098500626e-14j)
156,(-214.24870630693587+1.7123205824248104e-13j)
157,(-292.9786699557729+4.092723964427077e-13j)
158,(-228.36124233536825-6.303912068303637e-14j)
159,(-239.08313865485135+1.9954397770752347e-14j)
160,(-245.35538145225723+7.279808685460424e-14j)
161,(-249.6564439173097-1.0810842983567664e-13j)
162,(-314.7328905370933-2.380165781169722e-13j)
163,(-307.8511727206757+1.2131852628295396e-13j)
164,(-301.091693431707-2.722694282130316e-13j)
165,(-295.6026050226552+1.2424944039186924e-13j)
166,(-208.2243313882428-8.94069466902298e-14j)
167,(-281.32753790207767+6.241242938224679e-14j)
