,0
42,(-807.8443074369548-2.0739887753563004e-13j)
43,(-818.7294235499619+1.1719993269278196e-12j)
44,(-842.4728950021405-1.0072494183969108e-12j)
45,(-1110.3371530823742+1.0151358019189827e-12j)
46,(-1098.9973124424687+2.1241537809341333e-13j)
47,(-1083.7624819731416-2.703840376696377e-13j)
48,(-1047.8731252319699-9.119656227843916e-13j)
49,(-1032.9533830623877+4.237964060354832e-13j)
50,(-914.0780550625307-2.6203863603916787e-13j)
51,(-932.9953331239317-5.539122864867774e-13j)
52,(-1282.530942641707-5.808702295975032e-13j)
53,(-823.9576362184345+3.9250797999478266e-13j)
54,(-1249.0130156001383+4.0900883109793516e-13j)
55,(-1207.7943744651436-1.6081101588987568e-14j)
56,(-861.5390800803348+1.5643545049226848e-12j)
57,(-1179.5716328959797+1.6927447997507978e-12j)
58,(-1154.6903107921364+5.840038090972209e-13j)
59,(-1118.4496070000603+1.4232141888458341e-12j)
60,(-925.745038269906+9.034398932431716e-13j)
61,(-931.3411464179536+1.5040068050699577e-12j)
62,(-959.7808471002481-3.7165843485327056e-12j)
63,(-1030.810417844892+2.919634252849797e-13j)
64,(-1013.425770317331+6.417001416037526e-13j)
65,(-1210.1682927608165-2.02753830158194e-13j)
66,(-795.9442868599631-4.793671961713502e-13j)
67,(-828.6328444591655-9.989057175284659e-14j)
68,(-1175.6962593931255-7.12423061486047e-13j)
69,(-1133.5938839105454-9.414374136997998e-13j)
70,(-1117.02745480236-1.1678932475403003e-12j)
71,(-879.798099227484-1.195869149431226e-12j)
72,(-1082.7505930958314+2.5053826449626258e-14j)
73,(-1067.5256955106317-7.97756639820126e-13j)
74,(-902.2096824315562+1.7447042628327637e-13j)
75,(-955.7724487817472+2.1904683674056313e-13j)
76,(-1024.6578062386932-2.6542233074523953e-14j)
77,(-998.9993190166895+2.113391289171899e-13j)
78,(-1249.3616343474848+2.3397331303859743e-13j)
79,(-1174.8812105568734+1.482146306520887e-12j)
80,(-865.4637355766282-2.6167069707253454e-13j)
81,(-1155.5470573889609-7.481714932425426e-13j)
82,(-930.532890418824+2.2717310981495114e-13j)
83,(-945.6452580073529+2.0166739267770485e-13j)
84,(-1048.4982062596412-7.715453451093369e-13j)
85,(-1036.8206602594782+5.71277643552879e-13j)
86,(-999.9569326951756+5.039181923145563e-13j)
87,(-967.0834532778817-1.0460966688882414e-12j)
88,(-973.0676504830727-7.960041532362666e-14j)
89,(-1256.3158033670095+6.854548883870171e-13j)
90,(-827.0423775317774+7.423056900602043e-13j)
91,(-855.1616429898348+2.425092667405279e-12j)
92,(-862.6862761760301-1.3521312814003107e-13j)
93,(-1154.158640688977-1.0401398687661488e-12j)
94,(-881.8059561069241-6.284356310968856e-13j)
95,(-909.0319877949872-3.0032268711982035e-13j)
96,(-938.4188478686883-3.391841503528569e-13j)
97,(-1082.5564287361542-1.8186711715222417e-14j)
98,(-1020.024699000272-9.830088275202097e-13j)
99,(-999.4524428400999+1.4171855373003857e-12j)
100,(-1215.657521535042-1.8321556631582366e-13j)
101,(-825.9210866982654+1.2441096274868642e-12j)
102,(-1177.88478995717+1.5992232093397338e-12j)
103,(-868.7754031259365+1.3034600778060984e-12j)
104,(-872.4872266275008-2.722525646132238e-13j)
105,(-1145.5980118066266-9.346953069342197e-13j)
106,(-1131.3814322215123-1.325961304286003e-12j)
107,(-949.4962776066068+3.3549053429603815e-13j)
108,(-972.1176438059439+9.388567013962684e-13j)
109,(-1067.8956608530439+1.3072466744084922e-12j)
110,(-998.5261041998612-4.504006985676027e-13j)
111,(-1008.3026172334945-1.0514305088491394e-12j)
112,(-1036.4928942354582+5.17176243703987e-13j)
113,(-1183.23309607933+7.751473175945645e-13j)
114,(-822.0340359672894-5.460245581146772e-13j)
115,(-1160.749391670368-2.353221305995684e-12j)
116,(-1131.9113297325866+5.50352882402045e-13j)
117,(-858.0956817496591+9.37702917016572e-13j)
118,(-1094.2378676795101-5.682517437143082e-13j)
119,(-902.6656550952192+1.4411657577536911e-12j)
120,(-1067.5899062765454-8.768754751496843e-14j)
121,(-1053.673786302395+1.3857790231794698e-13j)
122,(-1024.2166422631697+6.728397371492133e-14j)
123,(-1007.3540121646927-5.051326388376785e-14j)
124,(-1230.0645354537812+4.0945025148175773e-13j)
125,(-1188.726814152406-4.547473508864641e-13j)
126,(-1173.154549489562-1.4776120048913382e-12j)
127,(-807.7583019783358-1.0456121839467147e-12j)
128,(-1156.5347222294847+5.945627097574364e-13j)
129,(-844.5700758581461-9.418101227607519e-13j)
130,(-897.8268877682298+3.1027432583806994e-13j)
131,(-1072.813804846831+6.512156254213165e-13j)
132,(-1059.1471299058653+3.435102826678338e-13j)
133,(-960.89866989754+1.2261482175937937e-13j)
134,(-989.098404381242+7.067094685756175e-13j)
135,(-1238.0963546699377+3.1181734706443755e-13j)
136,(-832.564257354045+2.7797389286978224e-13j)
137,(-867.1922196229084+6.279399343983367e-13j)
138,(-1199.7983414803032+1.5534753642622424e-12j)
139,(-1170.8815409949284-5.923778380092847e-13j)
140,(-1117.1301593591602+1.274675595303711e-12j)
141,(-967.3094594895625+6.475395731956504e-13j)
142,(-1030.750923111772+5.014220269524736e-13j)
143,(-983.8122513524476+1.3387918397697793e-14j)
144,(-824.4985544521384-1.1655156011277082e-13j)
145,(-1217.4489425522625+1.4135747158715703e-12j)
146,(-1189.9175397183153+6.645369001286571e-13j)
147,(-909.1169770832595+1.4261903392873883e-12j)
148,(-929.9864268370598-1.8924382271465863e-12j)
149,(-936.988041943652+7.165359478812689e-13j)
150,(-1112.8374940349167+3.1699158225106374e-12j)
151,(-1051.558144374941-1.5332164599938776e-12j)
152,(-1019.1278448902273+1.1268425500586607e-13j)
153,(-793.7106197831328-6.148749044643242e-13j)
154,(-809.9044888386377+2.8802524321662806e-13j)
155,(-859.6951925040287-2.7298682838823763e-13j)
156,(-1101.8128170814923+1.835080551794665e-12j)
157,(-888.5780496499139+5.226764209446754e-13j)
158,(-955.6961527996575+3.883168765160096e-14j)
159,(-1035.2167422088119-5.478142580765794e-13j)
160,(-1192.1685174666231-1.830761025215305e-12j)
161,(-1177.5807166900277+2.407632530494557e-13j)
162,(-862.1004150074501+4.622375846511081e-13j)
163,(-1097.00855684592-4.338082958706574e-13j)
164,(-933.2903538980295+1.3323371810671335e-12j)
165,(-1072.398971490776+3.0175447324298953e-13j)
166,(-962.3452053928514-3.006194458861954e-13j)
167,(-1252.0150316841998+1.2350355213475026e-12j)
168,(-1228.9034520141365-2.1775158517959778e-12j)
169,(-1199.3234184103956-9.227816712602242e-14j)
170,(-806.7998711027012-1.203773017337646e-12j)
171,(-820.3986265308187+1.0542496114659617e-13j)
172,(-1157.318930398919+2.962380299993581e-12j)
173,(-1132.1123488603205-1.3905114184672075e-13j)
174,(-852.8965974313231+7.83105038693549e-13j)
175,(-869.3720300585566-6.879992674552365e-13j)
176,(-1089.5971269159713+2.0484508338027562e-12j)
177,(-890.887196724588+1.1057624901279316e-13j)
178,(-950.2546233459179+1.8820803942692154e-14j)
179,(-1020.390827044948-6.991407536157811e-13j)
180,(-1261.7631858501675-2.3826805004993844e-13j)
181,(-1229.4751077799465-1.5750240977872452e-12j)
182,(-864.4794691579127+2.6317083991285506e-13j)
183,(-1154.853084592753+8.871429356174241e-13j)
184,(-874.3820631467754+8.039696579653241e-13j)
185,(-1128.581801101273-3.0227008327053753e-12j)
186,(-953.4052342938052-1.1028687805239733e-12j)
187,(-990.227085140808+3.650650491771132e-12j)
188,(-991.96316876744-2.3538388671740795e-12j)
189,(-1068.5341838885122+2.414814534154677e-13j)
190,(-1040.383701384508-4.597872582572772e-13j)
